Date,Region,Disease,New_Cases
2023-08-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2632
2023-09-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),8017
2023-09-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2681
2023-09-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),412
2023-09-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3320
2023-10-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),671
2023-10-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),233
2023-10-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),514
2023-10-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),283
2023-10-29,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),152
2023-11-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),266
2023-11-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),357
2023-11-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),172
2023-11-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),611
2023-12-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),369
2023-12-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),103
2023-12-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),326
2023-12-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),230
2023-12-31,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2637
2024-01-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),409
2024-01-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),420
2024-01-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),541
2024-01-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1871
2024-02-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),267
2024-02-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1250
2024-02-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),652
2024-02-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),513
2024-03-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),156
2024-03-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),80
2024-03-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),266
2024-03-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),38
2024-03-31,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),7
2024-04-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1
2024-04-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2024-04-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2024-04-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2024-05-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2024-05-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2024-05-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2024-05-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),14
2024-06-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),293
2024-06-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),387
